region,date,rain_mm,source
Pollachi,2026-08-24,2.9,open-meteo live forecast
Pollachi,2026-08-25,2.5,open-meteo live forecast
Pollachi,2026-08-26,2.5,open-meteo live forecast
Pollachi,2026-08-27,1.2,open-meteo live forecast
Pollachi,2026-08-28,0.9,open-meteo live forecast
Pollachi,2026-08-29,0.0,open-meteo live forecast
Pollachi,2026-08-30,0.6,open-meteo live forecast
Pollachi,2026-08-31,0.0,open-meteo live forecast
Pollachi,2026-09-01,0.0,open-meteo live forecast
Pollachi,2026-09-02,3.0,open-meteo live forecast
Pollachi,2026-09-03,0.6,open-meteo live forecast
Pollachi,2026-09-04,1.8,open-meteo live forecast
Pollachi,2026-09-05,2.4,open-meteo live forecast
Pollachi,2026-09-06,1.8,open-meteo live forecast
Pollachi,2026-09-07,0.0,open-meteo live forecast
Pollachi,2026-09-08,0.0,open-meteo live forecast
Kangeyam,2026-08-24,0.7,open-meteo live forecast
Kangeyam,2026-08-25,0.0,open-meteo live forecast
Kangeyam,2026-08-26,0.9,open-meteo live forecast
Kangeyam,2026-08-27,0.0,open-meteo live forecast
Kangeyam,2026-08-28,0.9,open-meteo live forecast
Kangeyam,2026-08-29,0.0,open-meteo live forecast
Kangeyam,2026-08-30,2.4,open-meteo live forecast
Kangeyam,2026-08-31,0.6,open-meteo live forecast
Kangeyam,2026-09-01,0.6,open-meteo live forecast
Kangeyam,2026-09-02,0.6,open-meteo live forecast
Kangeyam,2026-09-03,0.6,open-meteo live forecast
Kangeyam,2026-09-04,0.6,open-meteo live forecast
Kangeyam,2026-09-05,1.8,open-meteo live forecast
Kangeyam,2026-09-06,1.2,open-meteo live forecast
Kangeyam,2026-09-07,0.5,open-meteo live forecast
Kangeyam,2026-09-08,0.6,open-meteo live forecast
Madurai,2026-08-24,2.8,open-meteo live forecast
Madurai,2026-08-25,4.1,open-meteo live forecast
Madurai,2026-08-26,1.6,open-meteo live forecast
Madurai,2026-08-27,0.2,open-meteo live forecast
Madurai,2026-08-28,0.3,open-meteo live forecast
Madurai,2026-08-29,1.5,open-meteo live forecast
Madurai,2026-08-30,0.6,open-meteo live forecast
Madurai,2026-08-31,0.0,open-meteo live forecast
Madurai,2026-09-01,0.6,open-meteo live forecast
Madurai,2026-09-02,1.2,open-meteo live forecast
Madurai,2026-09-03,1.8,open-meteo live forecast
Madurai,2026-09-04,1.8,open-meteo live forecast
Madurai,2026-09-05,8.4,open-meteo live forecast
Madurai,2026-09-06,12.0,open-meteo live forecast
Madurai,2026-09-07,0.5,open-meteo live forecast
Madurai,2026-09-08,1.2,open-meteo live forecast
Salem,2026-08-24,12.7,open-meteo live forecast
Salem,2026-08-25,0.7,open-meteo live forecast
Salem,2026-08-26,0.9,open-meteo live forecast
Salem,2026-08-27,0.5,open-meteo live forecast
Salem,2026-08-28,0.3,open-meteo live forecast
Salem,2026-08-29,0.3,open-meteo live forecast
Salem,2026-08-30,0.6,open-meteo live forecast
Salem,2026-08-31,0.6,open-meteo live forecast
Salem,2026-09-01,15.0,open-meteo live forecast
Salem,2026-09-02,4.8,open-meteo live forecast
Salem,2026-09-03,1.2,open-meteo live forecast
Salem,2026-09-04,0.6,open-meteo live forecast
Salem,2026-09-05,5.4,open-meteo live forecast
Salem,2026-09-06,0.6,open-meteo live forecast
Salem,2026-09-07,0.0,open-meteo live forecast
Salem,2026-09-08,0.0,open-meteo live forecast
Peravurani,2026-08-24,5.0,open-meteo live forecast
Peravurani,2026-08-25,2.2,open-meteo live forecast
Peravurani,2026-08-26,0.6,open-meteo live forecast
Peravurani,2026-08-27,0.3,open-meteo live forecast
Peravurani,2026-08-28,0.9,open-meteo live forecast
Peravurani,2026-08-29,0.0,open-meteo live forecast
Peravurani,2026-08-30,0.0,open-meteo live forecast
Peravurani,2026-08-31,0.6,open-meteo live forecast
Peravurani,2026-09-01,0.6,open-meteo live forecast
Peravurani,2026-09-02,3.6,open-meteo live forecast
Peravurani,2026-09-03,1.2,open-meteo live forecast
Peravurani,2026-09-04,0.6,open-meteo live forecast
Peravurani,2026-09-05,1.8,open-meteo live forecast
Peravurani,2026-09-06,2.4,open-meteo live forecast
Peravurani,2026-09-07,0.9,open-meteo live forecast
Peravurani,2026-09-08,0.0,open-meteo live forecast
