supplier,region,dispatched_MT,offtake_MT,purchased_MT,prev_dispatched_MT,share_pct,growth_pct,opportunity_score,untapped_MT
Balu Coir,Pollachi,2501.0,50.0,0.0,1081.0,2.0,131.36,96.9,2451.0
Vetrivel Pith Block,Kangeyam,2819.0,75.0,75.27,814.0,2.66,246.31,96.8,2744.0
Palanimurugan Coir,Kangeyam,1720.0,0.0,0.0,608.0,0.0,182.89,95.2,1720.0
Sughavesh Natural Fiber (HEC),Salem,2128.0,75.0,0.0,1074.0,3.52,98.14,92.5,2053.0
Arul Hi-Tech Coir,Kangeyam,1429.0,48.0,49.5,627.0,3.36,127.91,90.4,1381.0
Kali Fiber Unit,Salem,1463.0,126.0,126.2,635.0,8.61,130.39,86.0,1337.0
Selvanayagiamman Fibers,Kangeyam,2320.0,0.0,0.0,1323.0,0.0,75.36,86.0,2320.0
Selva coco Fibre,Salem,1027.0,68.0,45.28,474.0,6.62,116.67,82.7,959.0
Aathil Coir Factory,Kangeyam,922.0,24.0,24.28,342.0,2.6,169.59,82.7,898.0
RSV Coir Industry,Salem,957.0,46.0,0.0,229.0,4.81,317.9,82.3,911.0
Eswari Fibres,Pollachi,1289.0,166.0,171.61,449.0,12.88,187.08,80.3,1123.0
Arun Coir Exime,Kangeyam,2099.0,362.0,382.7,1011.0,17.25,107.62,79.9,1737.0
Chellandiamman Fibers,Kangeyam,720.0,0.0,0.0,334.0,0.0,115.57,78.4,720.0
Thirukumaran Fibers,Pollachi,2602.0,502.0,0.0,1330.0,19.29,95.64,78.3,2100.0
India Coirs,Kangeyam,1448.0,0.0,0.0,866.0,0.0,67.21,78.3,1448.0
Arun Coir,Pollachi,605.0,0.0,0.0,89.0,0.0,579.78,73.0,605.0
Anand International,Salem,828.0,0.0,0.0,465.0,0.0,78.06,72.9,828.0
Akshya Coirs,Salem,755.0,0.0,0.0,418.0,0.0,80.62,71.8,755.0
Thiyagarajan Coir Industry,Salem,495.0,0.0,0.0,244.0,0.0,102.87,69.6,495.0
NRN Samy Coirs,Kangeyam,747.0,97.0,0.0,313.0,12.99,138.66,68.9,650.0
Narayana Coirs,Salem,845.0,48.0,47.81,484.0,5.68,74.59,68.3,797.0
Thulasiamman Coir Industry,Salem,1120.0,0.0,0.0,743.0,0.0,50.74,67.9,1120.0
Sun Coir,Kangeyam,1338.0,70.0,47.46,871.0,5.23,53.62,67.5,1268.0
Natural Coco,Kangeyam,881.0,0.0,0.0,550.0,0.0,60.18,66.9,881.0
Ramajeyam Coir,Salem,517.0,25.0,0.0,74.0,4.84,598.65,66.6,492.0
Anand Coir,Peravurani,793.0,135.0,0.0,411.0,17.02,92.94,64.9,658.0
SRM Coco Coirs,Pollachi,425.0,0.0,0.0,165.0,0.0,157.58,64.8,425.0
Go Green Coir,Salem,521.0,41.0,0.0,202.0,7.87,157.92,64.6,480.0
MUM Fibers,Peravurani,453.0,19.0,0.0,156.0,4.19,190.38,63.9,434.0
Sabari Coir,Kangeyam,1085.0,319.0,48.92,355.0,29.4,205.63,63.0,766.0
Dhanu Coir,Kangeyam,413.0,0.0,0.0,89.0,0.0,364.04,62.9,413.0
Charvi Fibre,Salem,407.0,0.0,0.0,191.0,0.0,113.09,62.3,407.0
Anuradha Coir,Madurai,406.0,0.0,0.0,197.0,0.0,106.09,62.1,406.0
Kuppanasamy Coir,Kangeyam,2401.0,275.0,0.0,1686.0,11.45,42.41,62.1,2126.0
Sri Ragavendra Coir Products,Pollachi,2260.0,165.0,164.3,1648.0,7.3,37.14,62.0,2095.0
Sree K.S Fibres,Kangeyam,935.0,169.0,215.54,531.0,18.07,76.08,61.6,766.0
Sri Anoor Fibers,Kangeyam,1001.0,0.0,0.0,720.0,0.0,39.03,60.7,1001.0
Ganesan Coco Product,Salem,597.0,22.0,21.71,345.0,3.69,73.04,60.7,575.0
SP Exports (Sammy Coir),Kangeyam,2565.0,215.0,0.0,1934.0,8.38,32.63,60.2,2350.0
Sri Ganapathi Fibres,Kangeyam,756.0,44.0,23.41,473.0,5.82,59.83,60.1,712.0
SMT Coir,Pollachi,671.0,144.0,0.0,248.0,21.46,170.56,59.8,527.0
Bio Thermal,Kangeyam,1746.0,0.0,0.0,1396.0,0.0,25.07,59.8,1746.0
Velaven Coir,Madurai,374.0,0.0,0.0,83.0,0.0,350.6,59.1,374.0
Manoj Traders,Kangeyam,942.0,0.0,0.0,707.0,0.0,33.24,57.2,942.0
Leeds Hydroponic,Pollachi,975.0,0.0,0.0,743.0,0.0,31.22,57.1,975.0
Sarvana Gugan Coirs,Kangeyam,1874.0,521.0,0.0,1144.0,27.8,63.81,57.0,1353.0
Mathi Coir,Pollachi,780.0,0.0,0.0,553.0,0.0,41.05,56.9,780.0
Radient Coir,Kangeyam,558.0,123.0,0.0,48.0,22.04,1062.5,55.7,435.0
S.A Export,Kangeyam,2165.0,49.0,49.39,1847.0,2.26,17.22,55.6,2116.0
Suriya Coir Products,Pollachi,1300.0,92.0,25.25,1003.0,7.08,29.61,55.6,1208.0
Siva Selvi Fibers,Kangeyam,3410.0,574.0,443.91,2553.0,16.83,33.57,55.4,2836.0
Aarha Export - Nochodampatti,Madurai,346.0,16.0,16.36,122.0,4.62,183.61,55.3,330.0
Anathi Fiber,Madurai,1021.0,0.0,0.0,824.0,0.0,23.91,54.7,1021.0
Maxiworth Coir,Salem,386.0,41.0,0.0,29.0,10.62,1231.03,54.2,345.0
Karthika Coirs (70-30),Madurai,1595.0,30.0,0.0,1372.0,1.88,16.25,54.0,1565.0
AGP Coir,Pollachi,338.0,22.0,0.0,71.0,6.51,376.06,53.8,316.0
Green Teck Coir Pith,Madurai,467.0,0.0,0.0,295.0,0.0,58.31,53.4,467.0
Anbu Fiber,Madurai,297.0,0.0,0.0,99.0,0.0,200.0,53.3,297.0
Amman Coir,Kangeyam,2255.0,198.0,172.91,1911.0,8.78,18.0,52.4,2057.0
Jacope,Pollachi,970.0,0.0,0.0,810.0,0.0,19.75,52.0,970.0
Sri Amman Coir,Kangeyam,1064.0,0.0,0.0,909.0,0.0,17.05,52.0,1064.0
Sree Vari Fibres,Kangeyam,840.0,0.0,0.0,666.0,0.0,26.13,52.0,840.0
Almighty Fibres,Madurai,775.0,0.0,0.0,614.0,0.0,26.22,50.8,775.0
Kadeswaran Pith Block,Kangeyam,2294.0,178.0,244.2,2035.0,7.76,12.73,50.8,2116.0
Sri Aswin Coirs/Srinivasa Fiber (Unsieved),Pollachi,1105.0,0.0,0.0,988.0,0.0,11.84,50.1,1105.0
Venus Coir,Pollachi,904.0,0.0,0.0,767.0,0.0,17.86,49.7,904.0
