supplier,region,fiscal_year,fiscal_quarter,latest_q_dispatch_MT,trailing_4q_avg_MT,our_share_pct,decline_risk,risk_band,forecast_next_q_MT,forecast_p10_MT,forecast_p90_MT,expected_next_q_MT
Krishna Coir,Pollachi,2027,FQ1,0.0,12.25,0.0,0.816,Critical,5.7,0.0,15.6,3.5
J&D Pith Blocks,Pollachi,2027,FQ1,0.0,6.25,0.0,0.814,Critical,2.9,0.0,8.0,1.8
Vasantha Fibers,Pollachi,2027,FQ1,0.0,6.25,0.0,0.814,Critical,2.9,0.0,8.0,1.8
Siva Fiber Products,Pollachi,2027,FQ1,0.0,6.25,0.0,0.814,Critical,2.9,0.0,8.0,1.8
Kannamal Fibre,Pollachi,2027,FQ1,0.0,6.25,0.0,0.814,Critical,2.9,0.0,8.0,1.8
PKS Coir,Pollachi,2027,FQ1,0.0,5.0,0.0,0.814,Critical,2.3,0.0,6.4,1.4
AKS Coirs (Vivek),Salem,2027,FQ1,0.0,6.25,0.0,0.79,Critical,8.1,0.0,22.0,2.9
Sujaatha Exim,Madurai,2027,FQ1,0.0,7.75,0.0,0.785,Critical,5.7,0.0,15.4,2.7
Sai Marketing,Madurai,2027,FQ1,0.0,5.25,0.0,0.784,Critical,3.8,0.0,10.5,1.8
Sun Fiber,Madurai,2027,FQ1,0.0,4.0,0.0,0.784,Critical,2.9,0.0,8.0,1.4
Karuppusamy Coir Industries,Madurai,2027,FQ1,0.0,5.0,0.0,0.784,Critical,3.7,0.0,10.0,1.8
MMS Coir,Madurai,2027,FQ1,0.0,5.0,0.0,0.784,Critical,3.7,0.0,10.0,1.8
N K S Fibers,Madurai,2027,FQ1,0.0,3.75,0.0,0.784,Critical,2.7,0.0,7.5,1.3
Jesus Coir Agro,Madurai,2027,FQ1,0.0,4.0,0.0,0.784,Critical,2.9,0.0,8.0,1.4
Karuppusamy Coir,Madurai,2027,FQ1,0.0,4.0,0.0,0.784,Critical,2.9,0.0,8.0,1.4
TGS Coir,Madurai,2027,FQ1,0.0,4.0,0.0,0.784,Critical,2.9,0.0,8.0,1.4
Nivetha Coir Products,Madurai,2027,FQ1,0.0,3.0,0.0,0.784,Critical,2.2,0.0,6.0,1.1
Sri Ayyanar Coco Pith Products,Madurai,2027,FQ1,0.0,2.0,0.0,0.784,Critical,1.5,0.0,4.0,0.7
Jaya Coco Pith,Madurai,2027,FQ1,0.0,1.75,0.0,0.784,Critical,1.3,0.0,3.5,0.6
Niveepree Coir,Kangeyam,2027,FQ1,0.0,6.25,0.0,0.772,Critical,6.2,0.0,17.0,2.6
Pranesh Coir,Pollachi,2027,FQ1,0.0,31.25,0.0,0.714,Critical,14.6,0.0,39.8,9.8
Corootz,Pollachi,2027,FQ1,0.0,18.5,0.0,0.712,Critical,8.6,0.0,23.6,5.8
Ever Shine Pith Bricks,Pollachi,2027,FQ1,0.0,6.0,0.0,0.711,Critical,2.8,0.0,7.6,1.9
KG Coir Products,Pollachi,2027,FQ1,0.0,5.5,0.0,0.711,Critical,2.6,0.0,7.0,1.7
Sri Hydroponic,Pollachi,2027,FQ1,0.0,6.25,0.0,0.711,Critical,2.9,0.0,8.0,1.9
Standard Agro Tech,Pollachi,2027,FQ1,0.0,5.0,0.0,0.71,Critical,2.3,0.0,6.4,1.6
Vengadeswara Coir,Pollachi,2027,FQ1,0.0,5.75,0.0,0.699,Moderate,2.7,0.0,7.3,1.8
Sivasakthi Fibre Products Export,Pollachi,2027,FQ1,0.0,45.0,0.0,0.692,Moderate,21.0,0.0,57.3,14.3
Sri Kamalan Co Coir Industry,Salem,2027,FQ1,0.0,11.0,0.0,0.67,Moderate,14.2,0.0,38.8,6.5
PRS Coco Pith,Salem,2027,FQ1,0.0,6.25,0.0,0.669,Moderate,8.1,0.0,22.0,3.7
Unique Coirs - Prabu Coir,Salem,2027,FQ1,0.0,6.25,0.0,0.669,Moderate,8.1,0.0,22.0,3.7
Guna Coir,Salem,2027,FQ1,0.0,6.25,0.0,0.669,Moderate,8.1,0.0,22.0,3.7
SUGHAVESH NATURAL FIBRE,Salem,2027,FQ1,0.0,5.5,0.0,0.669,Moderate,7.1,0.0,19.4,3.3
Velaven Coir,Madurai,2027,FQ1,0.0,59.0,0.0,0.668,Moderate,43.1,0.0,117.5,24.2
V Star Coirs,Madurai,2027,FQ1,0.0,11.25,0.0,0.662,Moderate,8.2,0.0,22.4,4.6
Shine Coir,Madurai,2027,FQ1,0.0,6.5,0.0,0.661,Moderate,4.7,0.0,12.9,2.7
Pachiyammal Coco product,Salem,2027,FQ1,0.0,6.25,0.0,0.656,Moderate,8.1,0.0,22.0,3.8
Natural Fiber,Kangeyam,2027,FQ1,0.0,6.0,0.0,0.641,Moderate,6.0,0.0,16.4,3.1
Vortex Bio Fuel -Selliyamman Coconut Product,Kangeyam,2027,FQ1,0.0,17.25,0.0,0.636,Moderate,17.2,0.0,47.0,9.0
Palaniyandavar Coirs,Kangeyam,2027,FQ1,0.0,27.25,0.0,0.628,Moderate,27.2,0.0,74.3,14.4
Sri Krishna Coir Impexs,Pollachi,2027,FQ1,0.0,180.0,0.0,0.57,Moderate,84.1,0.0,229.3,61.8
Vishvajith Fiber,Pollachi,2027,FQ1,0.0,242.25,0.0,0.568,Moderate,113.2,0.0,308.6,83.3
Sri Hariharasudhan Coirs,Pollachi,2027,FQ1,0.0,224.25,0.0,0.563,Moderate,104.8,0.0,285.6,77.3
Sri Palaniandavar Coir,Pollachi,2027,FQ1,0.0,31.0,0.0,0.557,Moderate,14.5,0.0,39.5,10.7
SKS Coir,Pollachi,2027,FQ1,0.0,37.5,0.0,0.556,Moderate,17.5,0.0,47.8,13.0
