supplier,supplier_raw,region,date,fiscal_year,fiscal_quarter,vaighai_purchased_MT,is_internal_transfer
Vandhana Coir Product,Vandhana Coir Product,Kangeyam,2018-09-21,2019.0,FQ2,12.06,False
Sabarigiri Fibres,Sabarigiri Fibres,Kangeyam,2018-12-26,2019.0,FQ3,24.7,False
Sri Kandiyamman Fibres,"Sri Kandiamman Fibre,Muthunaikanpatti",Kangeyam,2018-12-26,2019.0,FQ3,24.81,False
K.C.A COIR INDUSTRY,K.C.A COIR INDUSTRY,Salem,2018-12-26,2019.0,FQ3,26.1,False
Sri Harikrishna Coir Pith Products,SRI HARIKRISHNA COIR PITH PRODUCTS,Pollachi,2018-12-26,2019.0,FQ3,25.285,False
UNKNOWN (no supplier name),,,,,,371362.758,False
RPG Coir,"RPG Coir,Kangeyam",Kangeyam,2019-07-05,2020.0,FQ2,22.92,False
Balaji Coir Pith-Udumal,"Sri Balaji Coir Pith Products,Udumalpet",Kangeyam,2019-07-05,2020.0,FQ2,22.87,False
K.C.A COIR INDUSTRY,K.C.A COIR INDUSTRY,Salem,2019-07-05,2020.0,FQ2,27.125,False
SUGHAVESH NATURAL FIBRE,SUGHAVESH NATURAL FIBRE,Salem,2019-07-05,2020.0,FQ2,24.45,False
Sangamam Coconut Products,Sangamam Coconut Products,Kangeyam,2019-07-05,2020.0,FQ2,22.07,False
Popular Exporters,Popular Exporters,Madurai,2019-08-17,2020.0,FQ2,0.012,False
SUGHAVESH NATURAL FIBRE,SUGHAVESH NATURAL FIBRE,Salem,2020-01-31,2020.0,FQ4,26.25,False
Sri Annamar Fibres,"Sri Annamar Fibres,Tirupur",Kangeyam,2020-01-31,2020.0,FQ4,24.65,False
Nirupan Traders,Nirupan Traders,Pollachi,2020-01-31,2020.0,FQ4,21.6,False
Coir Tech Industries,Coir Tech Industries,Pollachi,2020-01-31,2020.0,FQ4,21.735,False
Mubarak Coirs,Mubarak Coirs,Salem,2020-01-31,2020.0,FQ4,14.135,False
Amman Coir,Amman Coirs,Kangeyam,2020-01-31,2020.0,FQ4,24.17,False
Vishalachi Coirs,Vishalachi Coirs,Madurai,2020-01-31,2020.0,FQ4,7.51,False
Sun Coir,"Sun Coirs,Palani",Kangeyam,2020-06-13,2021.0,FQ1,23.13,False
Sri Kandiyamman Fibres,"Sri Kandiamman Fibre,Muthunaikanpatti",Kangeyam,2020-06-13,2021.0,FQ1,24.93,False
Maxiworth Coir,Maxiworth Green Private Limited,Salem,2020-07-23,2021.0,FQ2,16.8,False
Renuga Global Exports,Renuga Global Exports,Kangeyam,2020-07-23,2021.0,FQ2,19.15,False
Sri Palaniyandavar Fibres,Sri Palaniandavar Fibres,Kangeyam,2020-07-23,2021.0,FQ2,22.87,False
Sri Jayam Fibre Products,Sri Jayam Fibre Products,Pollachi,2020-07-23,2021.0,FQ2,28.91,False
S.A Export,"S.A.Exports,Dindigul",Kangeyam,2020-07-23,2021.0,FQ2,24.36,False
Sumathi Coir Industry,Sumathi Coir Industry,Salem,2020-07-23,2021.0,FQ2,28.31,False
Sri Murugan Thunai Fibres,Sri Murugan Thunai Fibres,Pollachi,2020-07-23,2021.0,FQ2,19.11,False
Raja Fibre Industry,Raja Fibre Industry,Salem,2020-07-23,2021.0,FQ2,22.905,False
Sri Kandiyamman Fibres,"Sri Kandiamman Fibre,Muthunaikanpatti",Kangeyam,2020-07-23,2021.0,FQ2,22.22,False
Hari Krishna Coco Products,Hari Krishna Coco Products & Exports,Pollachi,2019-03-15,2019.0,FQ4,22.54,False
Sri Kandiyamman Fibres,"Sri Kandiamman Fibre,Muthunaikanpatti",Kangeyam,2019-03-15,2019.0,FQ4,43.07,False
Sri Harikrishna Coir Pith Products,SRI HARIKRISHNA COIR PITH PRODUCTS,Pollachi,2019-03-15,2019.0,FQ4,25.68,False
Balaji Coir Pith-Udumal,"Sri Balaji Coir Pith Products,Udumalpet",Kangeyam,2019-03-15,2019.0,FQ4,25.23,False
SHREE VETRRI VINAYAGAR FIBRES,SHREE VETRRI VINAYAGAR FIBRES,Pollachi,2019-03-15,2019.0,FQ4,44.82,False
RS Coir,RS Coir Agency,Kangeyam,2019-03-15,2019.0,FQ4,23.64,False
Suriya Coir Products,Suriya Coir Products,Pollachi,2019-03-15,2019.0,FQ4,48.3,False
SVF Coco peat,SVF Coco Peat,Pollachi,2019-03-15,2019.0,FQ4,46.92,False
Winner Coirs,"Winner Coirs,Coimbatore",Pollachi,2019-03-15,2019.0,FQ4,53.68,False
Skylark Coir Products,Skylark Coir Products,Pollachi,2019-03-15,2019.0,FQ4,18.5,False
Manivel Traders,MANIVEL TRADER,Kangeyam,2019-03-15,2019.0,FQ4,25.27,False
Ganapathy Coir,Ganapathy Coir,Pollachi,2019-03-15,2019.0,FQ4,24.92,False
Jacope,Jacope,Pollachi,2019-03-15,2019.0,FQ4,24.76,False
Bannariyamman Fibres,Sri Bannariamman Fibre Mills,Kangeyam,2019-06-22,2020.0,FQ1,18.96,False
Surya Coir,Surya Coirs,Kangeyam,2019-06-30,2020.0,FQ1,17.375,False
Jai Jai Fiber,Jai Jai Fibre Industrie,Kangeyam,2019-06-30,2020.0,FQ1,4.5,False
Global Pith Block,Global Pith Block,Kangeyam,2019-09-13,2020.0,FQ2,9.97,False
Mubarak Coirs,Mubarak Coirs,Salem,2020-01-24,2020.0,FQ4,21.09,False
SK Coco Pith,SK Coco Pith,Madurai,2020-01-14,2020.0,FQ4,21.39,False
RS Coir,RS Coir Agency,Kangeyam,2020-01-14,2020.0,FQ4,27.545,False
Global Pith Block,Global Pith Block,Kangeyam,2020-01-14,2020.0,FQ4,23.85,False
K P N Coir Industries,K P N Coir Industries,Pollachi,2020-01-14,2020.0,FQ4,22.42,False
Karthikeya Coir Products,Karthikeya Coir Products,Kangeyam,2020-01-14,2020.0,FQ4,19.495,False
Bannariyamman Fibres,Sri Bannariamman Fibre Mills,Kangeyam,2019-09-26,2020.0,FQ2,15.305,False
Rajesh Thirumal Nadar Velayutham,Rajesh Thirumal Nadar Velayutham,UNKNOWN,2019-10-31,2020.0,FQ3,1.36,False
RS Coir,RS Coir Agency,Kangeyam,2020-01-31,2020.0,FQ4,27.61,False
Sri Annamar Fibres,"Sri Annamar Fibres,Tirupur",Kangeyam,2020-04-30,2021.0,FQ1,25.42,False
Classic Coir india,Classic Coirs India,Kangeyam,2020-04-30,2021.0,FQ1,24.32,False
Sri Kandiyamman Fibres,"Sri Kandiamman Fibre,Muthunaikanpatti",Kangeyam,2020-04-30,2021.0,FQ1,23.83,False
Gogulkrishna coir Export,Gokul Krishna Coir Exports,Pollachi,2020-05-22,2021.0,FQ1,29.18,False
ABI Fibre Coir,ABI Fibre Coir,Peravurani,2020-07-10,2021.0,FQ2,16.27,False
Ariyoor Amman Coir Products,Ariyoor Amman Coir Products,Kangeyam,2020-07-10,2021.0,FQ2,16.98,False
Classic Coir india,Classic Coirs India,Kangeyam,2020-07-10,2021.0,FQ2,26.37,False
Nirupan Traders,Nirupan Traders,Pollachi,2020-07-10,2021.0,FQ2,17.89,False
Sun Coir,"Sun Coirs,Palani",Kangeyam,2020-07-10,2021.0,FQ2,28.06,False
Amman Coir,Amman Coirs,Kangeyam,2020-07-10,2021.0,FQ2,24.9,False
Brihaspathi Fiber,Brihaspathi Fiber,Kangeyam,2020-08-18,2021.0,FQ2,1.0,False
SUGHAVESH NATURAL FIBRE,SUGHAVESH NATURAL FIBRE,Salem,2019-01-21,2019.0,FQ4,48.015,False
K.C.A COIR INDUSTRY,K.C.A COIR INDUSTRY,Salem,2019-01-21,2019.0,FQ4,21.69,False
Dharsani Bio Fuels,Dharshini Bio Fuels,Kangeyam,2019-03-20,2019.0,FQ4,25.795,False
Sri Kandiyamman Fibres,"Sri Kandiamman Fibre,Muthunaikanpatti",Kangeyam,2019-03-20,2019.0,FQ4,46.25,False
Sri Harikrishna Coir Pith Products,SRI HARIKRISHNA COIR PITH PRODUCTS,Pollachi,2019-03-20,2019.0,FQ4,15.175,False
SHREE VETRRI VINAYAGAR FIBRES,SHREE VETRRI VINAYAGAR FIBRES,Pollachi,2019-03-20,2019.0,FQ4,25.52,False
RS Coir,RS Coir Agency,Kangeyam,2019-03-20,2019.0,FQ4,22.495,False
Sun Coir,"The Sun Coir, Dharapuram",Kangeyam,2019-03-20,2019.0,FQ4,5701.75,False
Balaji Coir Pith-Udumal,"Sri Balaji Coir Pith Products,Udumalpet",Kangeyam,2019-03-20,2019.0,FQ4,24.795,False
Amman Coir,Amman Coirs,Kangeyam,2019-08-09,2020.0,FQ2,22.02,False
S.A Export,"S.A.Exports,Dindigul",Kangeyam,2019-08-09,2020.0,FQ2,21.02,False
Sri Kandiyamman Fibres,"Sri Kandiamman Fibre,Muthunaikanpatti",Kangeyam,2019-08-09,2020.0,FQ2,25.44,False
Sangamam Coconut Products,Sangamam Coconut Products,Kangeyam,2019-08-09,2020.0,FQ2,22.05,False
K.C.A COIR INDUSTRY,K.C.A COIR INDUSTRY,Salem,2019-08-09,2020.0,FQ2,27.51,False
The Dindigul Coir,The Dindigul Coir,Madurai,2019-08-09,2020.0,FQ2,8.95,False
Vaighai (internal transfer — not an external supplier),Vaighai Agro Products Ltd-Pollachi Unit,UNKNOWN,2018-10-20,2019.0,FQ3,19.815,True
AYYANAR COIR PRODUCT,AYYANAR COIR PRODUCT,Pollachi,2019-06-08,2020.0,FQ1,13.24,False
Sun Coir,"The Sun Coir, Dharapuram",Kangeyam,2019-06-08,2020.0,FQ1,16.12,False
N.SATHISHRAJA,N.Sathishraja,Kangeyam,2019-06-08,2020.0,FQ1,5.145,False
