supplier,region,fiscal_year,fiscal_quarter,mill_produced_MT,mill_dispatched_MT,vaighai_offtake_est_MT,vaighai_purchased_MT,in_mir,in_purchase,our_share_of_dispatch_pct
(RK Coir) Vishalachi Coirs,Madurai,2021,FQ1,0.0,0.0,0.0,0.0,True,False,
(RK Coir) Vishalachi Coirs,Madurai,2021,FQ2,0.0,0.0,0.0,0.0,True,False,
(RK Coir) Vishalachi Coirs,Madurai,2021,FQ3,0.0,0.0,0.0,0.0,True,False,
(RK Coir) Vishalachi Coirs,Madurai,2021,FQ4,0.0,0.0,0.0,0.0,True,False,
(RK Coir) Vishalachi Coirs,Madurai,2022,FQ1,21.0,16.0,16.0,0.0,True,False,100.0
(RK Coir) Vishalachi Coirs,Madurai,2022,FQ2,26.0,14.0,14.0,0.0,True,False,100.0
(RK Coir) Vishalachi Coirs,Madurai,2022,FQ3,12.0,4.0,0.0,0.0,True,False,0.0
(RK Coir) Vishalachi Coirs,Madurai,2022,FQ4,7.0,0.0,0.0,0.0,True,False,
(RK Coir) Vishalachi Coirs,Madurai,2023,FQ3,0.0,0.0,0.0,0.0,True,False,
(RK Coir) Vishalachi Coirs,Madurai,2023,FQ4,0.0,0.0,0.0,0.0,True,False,
(RK Coir) Vishalachi Coirs,Madurai,2024,FQ1,0.0,0.0,0.0,0.0,True,False,
(RK Coir) Vishalachi Coirs,Madurai,2024,FQ2,0.0,0.0,0.0,0.0,True,False,
(RK Coir) Vishalachi Coirs,Madurai,2024,FQ3,0.0,0.0,0.0,0.0,True,False,
(Ramesh M) M R Fiber,Madurai,2021,FQ1,0.0,0.0,0.0,0.0,True,False,
(Ramesh M) M R Fiber,Madurai,2021,FQ2,0.0,0.0,0.0,0.0,True,False,
(Ramesh M) M R Fiber,Madurai,2021,FQ3,0.0,0.0,0.0,0.0,True,False,
(Ramesh M) M R Fiber,Madurai,2021,FQ4,0.0,0.0,0.0,0.0,True,False,
(Ramesh M) M R Fiber,Madurai,2022,FQ1,0.0,0.0,0.0,0.0,True,False,
(Ramesh M) M R Fiber,Madurai,2022,FQ2,16.0,16.0,16.0,16.17,True,True,100.0
(Ramesh M) M R Fiber,Madurai,2022,FQ3,0.0,0.0,0.0,0.0,True,False,
(Ramesh M) M R Fiber,Madurai,2023,FQ2,0.0,0.0,0.0,0.0,True,False,
(Ramesh M) M R Fiber,Madurai,2023,FQ3,0.0,0.0,0.0,0.0,True,False,
(Ramesh M) M R Fiber,Madurai,2023,FQ4,0.0,0.0,0.0,0.0,True,False,
(Ramesh M) M R Fiber,Madurai,2024,FQ1,0.0,0.0,0.0,0.0,True,False,
(Ramesh M) M R Fiber,Madurai,2024,FQ2,57.0,60.0,0.0,0.0,True,False,0.0
(Ramesh M) M R Fiber,Madurai,2024,FQ3,10.0,5.0,0.0,0.0,True,False,0.0
